rc1,rc2,rc3,zs1,zs2,zs3,nfp,etabar,B2c,p2,axis_length,iota,max_elongation,min_L_grad_B,min_R0,r_singularity,L_grad_grad_B,B20_variation,beta,DMerc_times_r2
0.44496822,-0.07899285,0.011818276,0.57712734,-0.06783562,0.010476651,3.0,-1.1323996,-2.0139747,-57833.0,12.024795455477236,-2.367697081883354,7.485430662758205,0.390840494660263,0.464220649562776,0.1204413891616608,0.2615486641067723,3.0915620610400687,0.0010542341912024,0.0544962704217706
-0.51614714,-0.015879914,-0.009424327,-0.48865914,-0.031079644,-0.012801683,4.0,-1.5715779,-1.4185243,-147473.25,14.362782780565032,-2.8905780434129618,2.882668262678688,0.3878939859363734,0.4585486222058531,0.0911666567707373,0.2335382631422889,1.867752400591652,0.0015402640283399,0.3316175711005703
0.55701435,0.010405341,-0.011430794,0.5865188,0.020439036,-0.009654884,4.0,-1.5643075,1.0998976,-51836.625,15.852823,-2.9620435,3.6504903,0.52133656,0.4648218,0.09228986,0.36648804,3.743618,0.00055482314,0.23215218
-0.5706682,0.018070633,-0.0056113037,0.6034725,-0.019558297,0.0027939377,3.0,1.0276676,-0.4630165,-107233.84,12.887993,2.0711324,4.1010003,0.41348985,0.44179112,0.14566441,0.24110135,1.5273633,0.002859227,0.07404164
-0.57804847,-0.025538318,-0.0017782303,0.6205065,0.014697893,0.007881382,3.0,-1.1679016,-3.372477,-82733.97,13.182152236160269,2.172187826523092,3.79761972349832,0.4689794101675484,0.3946349842008201,0.1064000471891098,0.2929848489064209,3.429511849941969,0.0011770024398436,0.2869535325650978
0.55786407,-0.026888903,0.00048112788,0.6608499,-0.015782971,0.009057872,3.0,1.4090573,-1.9659958,-51050.938,13.348342,-2.2826972,5.6643324,0.48415494,0.4147659,0.09827821,0.2990987,2.3308399,0.0006196238,0.09457303
-0.51566637,-0.008697239,-0.00930423,-0.5793185,-0.014295962,-0.0061798533,3.0,0.78419554,-2.9936044,-113444.03,12.275742900357413,-2.341113437824032,6.852851310956812,0.4045950439243427,0.4663321655243633,0.1034893720475663,0.2952034430517293,0.5088205415196372,0.0015268030482373,0.3610797702107637
-0.5506879,0.024465099,0.0005172177,0.58083385,-0.048735425,0.0012092608,4.0,-1.2825619,-2.085592,-299031.25,15.706742,2.7327793,3.141516,0.4492174,0.4742944,0.12584166,0.22913317,1.756903,0.0059507997,0.5721265
-0.660097,0.048240803,0.0051517724,-0.6682867,0.050135847,-0.0016029157,4.0,-1.91756,-1.4089328,-37103.22,18.054996138060616,-3.2194477908621817,4.522920061178279,0.5559390225725762,0.393295572604984,0.0590483657637026,0.2778306726975269,1.1643454693319022,0.0001625688059187,0.506686430271641
0.51507986,0.013982429,0.012287474,-0.6336074,-0.038224712,-0.016145851,3.0,1.0827272,-2.01278,-275683.44,12.672018,1.9330096,4.362353,0.4332059,0.4866151,0.09786152,0.24869329,2.1595426,0.003317756,0.6269497
-0.54344094,0.047267053,0.00033273344,-0.54871017,0.09045117,-0.011334577,4.0,-1.500197,-2.3316064,-248168.56,15.367111662853512,-2.621153116469832,3.193616001094504,0.3958560724305161,0.5041588487219995,0.0578360296857907,0.1742721361849776,2.612965901116527,0.0010431663588914,1.3818010383487112
0.5727979,-0.033641618,-0.0029805086,0.60362506,-0.017384615,0.0012896924,3.0,1.7237186,-2.6808825,-31500.594,13.021593,-2.434883,5.862234,0.46367604,0.396541,0.052245244,0.29365957,1.5710243,0.000108049346,0.30795002
0.53624415,-0.0037547946,-0.006534957,0.6385805,0.006965766,-0.00481158,3.0,-0.8032611,-3.644699,-18827.312,12.931356,-2.2485356,6.925813,0.45939434,0.46653602,0.08900312,0.33890074,2.4443307,0.00018741687,0.09424088
-0.5725359,-0.0042512976,-0.0025395313,-0.6144812,-0.0022085416,-0.008301466,3.0,-1.0712956,0.042660654,-50655.594,13.031859,-2.1206317,4.04875,0.4529358,0.4206733,0.22986662,0.27903455,1.6830503,0.0033634822,0.019958075
-0.5367805,0.038285848,-0.0105096,0.6514795,-0.04412562,0.011893453,4.0,1.1779683,-0.84738696,-15853.3125,16.37097534564588,2.716473489788071,4.0651152093806,0.514672987976539,0.4909957712516187,0.1998100772942433,0.3612230678910811,1.1772302459379755,0.0007953616745305,0.035500753967061
